season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying
2013,1,https://en.wikipedia.org/wiki/2013_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2013-03-17,06:00:00Z,{'date': '2013-03-15'},{'date': '2013-03-15'},{'date': '2013-03-16'},{'date': '2013-03-16'}
2013,2,https://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix,Malaysian Grand Prix,"{'circuitId': 'sepang', 'url': 'https://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",2013-03-24,08:00:00Z,{'date': '2013-03-22'},{'date': '2013-03-22'},{'date': '2013-03-23'},{'date': '2013-03-23'}
2013,3,https://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix,Chinese Grand Prix,"{'circuitId': 'shanghai', 'url': 'https://en.wikipedia.org/wiki/Shanghai_International_Circuit', 'circuitName': 'Shanghai International Circuit', 'Location': {'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}}",2013-04-14,07:00:00Z,{'date': '2013-04-12'},{'date': '2013-04-12'},{'date': '2013-04-13'},{'date': '2013-04-13'}
2013,4,https://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2013-04-21,12:00:00Z,{'date': '2013-04-19'},{'date': '2013-04-19'},{'date': '2013-04-20'},{'date': '2013-04-20'}
2013,5,https://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2013-05-12,12:00:00Z,{'date': '2013-05-10'},{'date': '2013-05-10'},{'date': '2013-05-11'},{'date': '2013-05-11'}
2013,6,https://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2013-05-26,12:00:00Z,{'date': '2013-05-23'},{'date': '2013-05-23'},{'date': '2013-05-25'},{'date': '2013-05-25'}
2013,7,https://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2013-06-09,18:00:00Z,{'date': '2013-06-07'},{'date': '2013-06-07'},{'date': '2013-06-08'},{'date': '2013-06-08'}
2013,8,https://en.wikipedia.org/wiki/2013_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2013-06-30,12:00:00Z,{'date': '2013-06-28'},{'date': '2013-06-28'},{'date': '2013-06-29'},{'date': '2013-06-29'}
2013,9,https://en.wikipedia.org/wiki/2013_German_Grand_Prix,German Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",2013-07-07,12:00:00Z,{'date': '2013-07-05'},{'date': '2013-07-05'},{'date': '2013-07-06'},{'date': '2013-07-06'}
2013,10,https://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix,Hungarian Grand Prix,"{'circuitId': 'hungaroring', 'url': 'https://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",2013-07-28,12:00:00Z,{'date': '2013-07-26'},{'date': '2013-07-26'},{'date': '2013-07-27'},{'date': '2013-07-27'}
2013,11,https://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",2013-08-25,12:00:00Z,{'date': '2013-08-23'},{'date': '2013-08-23'},{'date': '2013-08-24'},{'date': '2013-08-24'}
2013,12,https://en.wikipedia.org/wiki/2013_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",2013-09-08,12:00:00Z,{'date': '2013-09-06'},{'date': '2013-09-06'},{'date': '2013-09-07'},{'date': '2013-09-07'}
2013,13,https://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix,Singapore Grand Prix,"{'circuitId': 'marina_bay', 'url': 'https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit', 'circuitName': 'Marina Bay Street Circuit', 'Location': {'lat': '1.2914', 'long': '103.864', 'locality': 'Marina Bay', 'country': 'Singapore'}}",2013-09-22,12:00:00Z,{'date': '2013-09-20'},{'date': '2013-09-20'},{'date': '2013-09-21'},{'date': '2013-09-21'}
2013,14,https://en.wikipedia.org/wiki/2013_Korean_Grand_Prix,Korean Grand Prix,"{'circuitId': 'yeongam', 'url': 'https://en.wikipedia.org/wiki/Korea_International_Circuit', 'circuitName': 'Korean International Circuit', 'Location': {'lat': '34.73329999999999', 'long': '126.41699999999999', 'locality': 'Yeongam County', 'country': 'Korea'}}",2013-10-06,06:00:00Z,{'date': '2013-10-04'},{'date': '2013-10-04'},{'date': '2013-10-05'},{'date': '2013-10-05'}
2013,15,https://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix,Japanese Grand Prix,"{'circuitId': 'suzuka', 'url': 'https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.843100000000014', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",2013-10-13,06:00:00Z,{'date': '2013-10-11'},{'date': '2013-10-11'},{'date': '2013-10-12'},{'date': '2013-10-12'}
2013,16,https://en.wikipedia.org/wiki/2013_Indian_Grand_Prix,Indian Grand Prix,"{'circuitId': 'buddh', 'url': 'https://en.wikipedia.org/wiki/Buddh_International_Circuit', 'circuitName': 'Buddh International Circuit', 'Location': {'lat': '28.3487', 'long': '77.5331', 'locality': 'Uttar Pradesh', 'country': 'India'}}",2013-10-27,09:30:00Z,{'date': '2013-10-25'},{'date': '2013-10-25'},{'date': '2013-10-26'},{'date': '2013-10-26'}
2013,17,https://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,"{'circuitId': 'yas_marina', 'url': 'https://en.wikipedia.org/wiki/Yas_Marina_Circuit', 'circuitName': 'Yas Marina Circuit', 'Location': {'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}}",2013-11-03,13:00:00Z,{'date': '2013-11-01'},{'date': '2013-11-01'},{'date': '2013-11-02'},{'date': '2013-11-02'}
2013,18,https://en.wikipedia.org/wiki/2013_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'americas', 'url': 'https://en.wikipedia.org/wiki/Circuit_of_the_Americas', 'circuitName': 'Circuit of the Americas', 'Location': {'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}}",2013-11-17,19:00:00Z,{'date': '2013-11-15'},{'date': '2013-11-15'},{'date': '2013-11-16'},{'date': '2013-11-16'}
2013,19,https://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix,Brazilian Grand Prix,"{'circuitId': 'interlagos', 'url': 'https://en.wikipedia.org/wiki/Interlagos_Circuit', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.69969999999999', 'locality': 'São Paulo', 'country': 'Brazil'}}",2013-11-24,16:00:00Z,{'date': '2013-11-22'},{'date': '2013-11-22'},{'date': '2013-11-23'},{'date': '2013-11-23'}
