season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying
2009,1,https://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2009-03-29,06:00:00Z,{'date': '2009-03-27'},{'date': '2009-03-27'},{'date': '2009-03-28'},{'date': '2009-03-28'}
2009,2,https://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,Malaysian Grand Prix,"{'circuitId': 'sepang', 'url': 'https://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",2009-04-05,09:00:00Z,{'date': '2009-04-03'},{'date': '2009-04-03'},{'date': '2009-04-04'},{'date': '2009-04-04'}
2009,3,https://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,Chinese Grand Prix,"{'circuitId': 'shanghai', 'url': 'https://en.wikipedia.org/wiki/Shanghai_International_Circuit', 'circuitName': 'Shanghai International Circuit', 'Location': {'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}}",2009-04-19,07:00:00Z,{'date': '2009-04-17'},{'date': '2009-04-17'},{'date': '2009-04-18'},{'date': '2009-04-18'}
2009,4,https://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2009-04-26,12:00:00Z,{'date': '2009-04-24'},{'date': '2009-04-24'},{'date': '2009-04-25'},{'date': '2009-04-25'}
2009,5,https://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2009-05-10,12:00:00Z,{'date': '2009-05-08'},{'date': '2009-05-08'},{'date': '2009-05-09'},{'date': '2009-05-09'}
2009,6,https://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2009-05-24,12:00:00Z,{'date': '2009-05-21'},{'date': '2009-05-21'},{'date': '2009-05-23'},{'date': '2009-05-23'}
2009,7,https://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,Turkish Grand Prix,"{'circuitId': 'istanbul', 'url': 'https://en.wikipedia.org/wiki/Istanbul_Park', 'circuitName': 'Istanbul Park', 'Location': {'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}}",2009-06-07,12:00:00Z,{'date': '2009-06-05'},{'date': '2009-06-05'},{'date': '2009-06-06'},{'date': '2009-06-06'}
2009,8,https://en.wikipedia.org/wiki/2009_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2009-06-21,12:00:00Z,{'date': '2009-06-19'},{'date': '2009-06-19'},{'date': '2009-06-20'},{'date': '2009-06-20'}
2009,9,https://en.wikipedia.org/wiki/2009_German_Grand_Prix,German Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",2009-07-12,12:00:00Z,{'date': '2009-07-10'},{'date': '2009-07-10'},{'date': '2009-07-11'},{'date': '2009-07-11'}
2009,10,https://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,Hungarian Grand Prix,"{'circuitId': 'hungaroring', 'url': 'https://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",2009-07-26,12:00:00Z,{'date': '2009-07-24'},{'date': '2009-07-24'},{'date': '2009-07-25'},{'date': '2009-07-25'}
2009,11,https://en.wikipedia.org/wiki/2009_European_Grand_Prix,European Grand Prix,"{'circuitId': 'valencia', 'url': 'https://en.wikipedia.org/wiki/Valencia_Street_Circuit', 'circuitName': 'Valencia Street Circuit', 'Location': {'lat': '39.4589', 'long': '-0.331667', 'locality': 'Valencia', 'country': 'Spain'}}",2009-08-23,12:00:00Z,{'date': '2009-08-21'},{'date': '2009-08-21'},{'date': '2009-08-22'},{'date': '2009-08-22'}
2009,12,https://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",2009-08-30,12:00:00Z,{'date': '2009-08-28'},{'date': '2009-08-28'},{'date': '2009-08-29'},{'date': '2009-08-29'}
