season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint
2021,1,https://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2021-03-28,15:00:00Z,{'date': '2021-03-26'},{'date': '2021-03-26'},{'date': '2021-03-27'},{'date': '2021-03-27'},
2021,2,https://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,"{'circuitId': 'imola', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",2021-04-18,13:00:00Z,{'date': '2021-04-16'},{'date': '2021-04-16'},{'date': '2021-04-17'},{'date': '2021-04-17'},
2021,3,https://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,Portuguese Grand Prix,"{'circuitId': 'portimao', 'url': 'https://en.wikipedia.org/wiki/Algarve_International_Circuit', 'circuitName': 'Autódromo Internacional do Algarve', 'Location': {'lat': '37.227', 'long': '-8.6267', 'locality': 'Portimão', 'country': 'Portugal'}}",2021-05-02,14:00:00Z,{'date': '2021-04-30'},{'date': '2021-04-30'},{'date': '2021-05-01'},{'date': '2021-05-01'},
2021,4,https://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2021-05-09,13:00:00Z,{'date': '2021-05-07'},{'date': '2021-05-07'},{'date': '2021-05-08'},{'date': '2021-05-08'},
2021,5,https://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2021-05-23,13:00:00Z,{'date': '2021-05-21'},{'date': '2021-05-21'},{'date': '2021-05-22'},{'date': '2021-05-22'},
2021,6,https://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,"{'circuitId': 'baku', 'url': 'https://en.wikipedia.org/wiki/Baku_City_Circuit', 'circuitName': 'Baku City Circuit', 'Location': {'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}}",2021-06-06,12:00:00Z,{'date': '2021-06-04'},{'date': '2021-06-04'},{'date': '2021-06-05'},{'date': '2021-06-05'},
2021,7,https://en.wikipedia.org/wiki/2021_French_Grand_Prix,French Grand Prix,"{'circuitId': 'ricard', 'url': 'https://en.wikipedia.org/wiki/Circuit_Paul_Ricard', 'circuitName': 'Circuit Paul Ricard', 'Location': {'lat': '43.250599999999984', 'long': '5.791669999999999', 'locality': 'Le Castellet', 'country': 'France'}}",2021-06-20,13:00:00Z,{'date': '2021-06-18'},{'date': '2021-06-18'},{'date': '2021-06-19'},{'date': '2021-06-19'},
2021,8,https://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix,Styrian Grand Prix,"{'circuitId': 'red_bull_ring', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",2021-06-27,13:00:00Z,{'date': '2021-06-25'},{'date': '2021-06-25'},{'date': '2021-06-26'},{'date': '2021-06-26'},
2021,9,https://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix,Austrian Grand Prix,"{'circuitId': 'red_bull_ring', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",2021-07-04,13:00:00Z,{'date': '2021-07-02'},{'date': '2021-07-02'},{'date': '2021-07-03'},{'date': '2021-07-03'},
2021,10,https://en.wikipedia.org/wiki/2021_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2021-07-18,14:00:00Z,{'date': '2021-07-16'},{'date': '2021-07-17'},,{'date': '2021-07-16'},{'date': '2021-07-17'}
